Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-10047,2021-05-02,2021-05-09,Same Day,CUST-1086,Emily Davis,Home Office,United States,Philadelphia,Pennsylvania,13794,East,PROD-5047,Technology,Phones,Phones Model 48,3002.48,5,0.07,724.65
ORD-10048,2021-05-07,2021-05-10,Standard Class,CUST-1126,Noah Brown,Corporate,United States,Dallas,Texas,64008,Central,PROD-5048,Office Supplies,Appliances,Appliances Model 580,20.64,1,0.11,1.38
ORD-10049,2021-06-14,2021-06-15,Standard Class,CUST-1255,Olivia Garcia,Consumer,United States,Seattle,Washington,28758,West,PROD-5049,Technology,Machines,Machines Model 238,1130.82,1,0.06,175.88
ORD-10050,2021-04-04,2021-04-05,Same Day,CUST-1148,Noah Brown,Corporate,United States,Montgomery,Alabama,30706,South,PROD-5050,Technology,Phones,Phones Model 76,1673.22,4,0.31,332.84
ORD-10051,2021-04-20,2021-04-24,First Class,CUST-1234,Emily Davis,Corporate,United States,Mobile,Alabama,36111,South,PROD-5051,Technology,Machines,Machines Model 394,559.04,1,0.04,153.11
ORD-10052,2021-07-28,2021-07-29,First Class,CUST-1359,Emily Davis,Corporate,United States,Miami,Florida,12875,South,PROD-5052,Technology,Copiers,Copiers Model 850,446.07,1,0.02,120.9
ORD-10053,2021-06-12,2021-06-15,Same Day,CUST-1147,Rahul Verma,Home Office,United States,Birmingham,Alabama,89569,South,PROD-5053,Technology,Phones,Phones Model 822,603.36,1,0.04,181.82
ORD-10054,2021-05-27,2021-06-03,Standard Class,CUST-1322,Jordan Lee,Consumer,United States,Naperville,Illinois,92242,Central,PROD-5054,Technology,Copiers,Copiers Model 662,1626.07,2,0.06,314.82
ORD-10055,2021-08-01,2021-08-04,Standard Class,CUST-1047,Emily Davis,Consumer,United States,Virginia Beach,Virginia,52823,East,PROD-5055,Technology,Copiers,Copiers Model 766,1196.76,2,0.0,295.64
ORD-10056,2021-04-10,2021-04-15,First Class,CUST-1085,Emily Davis,Consumer,United States,Atlanta,Georgia,73156,South,PROD-5056,Technology,Copiers,Copiers Model 991,1001.69,2,0.21,73.26
ORD-10057,2021-04-30,2021-05-03,Standard Class,CUST-1347,Aarav Singh,Corporate,United States,Columbus,Ohio,83048,Central,PROD-5057,Furniture,Tables,Tables Model 375,434.53,1,0.14,86.2
ORD-10058,2021-06-10,2021-06-17,Same Day,CUST-1189,Emily Davis,Corporate,United States,Philadelphia,Pennsylvania,86619,East,PROD-5058,Technology,Phones,Phones Model 391,955.35,2,0.23,27.12
ORD-10059,2021-06-07,2021-06-08,First Class,CUST-1313,Rahul Verma,Consumer,United States,Austin,Texas,94889,Central,PROD-5059,Office Supplies,Paper,Paper Model 65,212.51,4,0.2,18.07
ORD-10060,2021-03-08,2021-03-14,Second Class,CUST-1020,Emily Davis,Corporate,United States,Mobile,Alabama,74569,South,PROD-5060,Furniture,Tables,Tables Model 119,294.66,2,0.06,48.35
ORD-10061,2021-04-25,2021-04-29,First Class,CUST-1344,Noah Brown,Consumer,United States,Springfield,Massachusetts,64935,East,PROD-5061,Office Supplies,Appliances,Appliances Model 602,160.32,3,0.03,49.01
ORD-10062,2021-05-10,2021-05-15,First Class,CUST-1017,Chen Li,Consumer,United States,Henderson,Nevada,38477,West,PROD-5062,Office Supplies,Appliances,Appliances Model 455,109.46,3,0.24,29.91
ORD-10063,2021-06-17,2021-06-18,First Class,CUST-1032,Aarav Singh,Consumer,United States,Savannah,Georgia,46160,South,PROD-5063,Technology,Copiers,Copiers Model 195,2440.4,3,0.21,89.77
ORD-10064,2021-06-07,2021-06-11,Second Class,CUST-1171,Rahul Verma,Home Office,United States,Philadelphia,Pennsylvania,26505,East,PROD-5064,Furniture,Chairs,Chairs Model 806,764.97,2,0.2,157.44
ORD-10065,2021-05-16,2021-05-17,Standard Class,CUST-1169,Priya Kumar,Consumer,United States,San Diego,California,88116,West,PROD-5065,Technology,Accessories,Accessories Model 3,6106.83,8,0.02,1840.92
ORD-10066,2021-02-18,2021-02-23,Second Class,CUST-1339,Alex Smith,Home Office,United States,Chicago,Illinois,27275,Central,PROD-5066,Office Supplies,Binders,Binders Model 16,57.37,3,0.23,7.02
ORD-10067,2021-05-19,2021-05-22,First Class,CUST-1027,Priya Kumar,Corporate,United States,Naperville,Illinois,65176,Central,PROD-5067,Furniture,Tables,Tables Model 539,2281.12,5,0.08,304.16
ORD-10068,2021-05-24,2021-05-31,Same Day,CUST-1258,Rahul Verma,Corporate,United States,Buffalo,New York,90623,East,PROD-5068,Office Supplies,Paper,Paper Model 45,112.58,5,0.1,26.3
ORD-10069,2022-01-03,2022-01-09,Same Day,CUST-1219,Jordan Lee,Consumer,United States,Rochester,Minnesota,74260,Central,PROD-5069,Furniture,Furnishings,Furnishings Model 730,228.86,1,0.04,32.59
ORD-10070,2021-05-08,2021-05-13,Second Class,CUST-1065,Emily Davis,Corporate,United States,Miami,Florida,91830,South,PROD-5070,Technology,Accessories,Accessories Model 649,5385.52,6,0.07,725.5
ORD-10071,2021-06-10,2021-06-17,Same Day,CUST-1051,Jordan Lee,Home Office,United States,Rochester,Minnesota,95814,Central,PROD-5071,Office Supplies,Appliances,Appliances Model 667,440.23,6,0.09,139.43
ORD-10072,2021-08-16,2021-08-19,Same Day,CUST-1205,Aarav Singh,Consumer,United States,Reno,Nevada,22463,West,PROD-5072,Office Supplies,Storage,Storage Model 321,17.86,1,0.13,3.87
ORD-10073,2021-07-14,2021-07-19,Same Day,CUST-1035,Jordan Lee,Corporate,United States,Mobile,Alabama,21188,South,PROD-5073,Office Supplies,Binders,Binders Model 96,296.6,5,0.06,83.97
ORD-10074,2021-09-10,2021-09-12,Second Class,CUST-1301,Noah Brown,Home Office,United States,Tampa,Florida,83620,South,PROD-5074,Office Supplies,Binders,Binders Model 338,206.26,4,0.03,27.35
ORD-10075,2021-03-09,2021-03-15,First Class,CUST-1308,Emily Davis,Home Office,United States,Pittsburgh,Pennsylvania,56090,East,PROD-5075,Office Supplies,Paper,Paper Model 107,81.99,6,0.2,22.26
ORD-10076,2021-03-27,2021-03-28,First Class,CUST-1285,Chen Li,Corporate,United States,Tacoma,Washington,25058,West,PROD-5076,Furniture,Chairs,Chairs Model 781,1007.78,3,0.15,83.73
ORD-10077,2021-04-17,2021-04-18,First Class,CUST-1015,Priya Kumar,Home Office,United States,Aurora,Illinois,45818,Central,PROD-5077,Technology,Phones,Phones Model 720,3458.75,5,0.13,619.57
ORD-10078,2021-03-03,2021-03-09,Same Day,CUST-1036,Priya Kumar,Consumer,United States,Cleveland,Ohio,92991,Central,PROD-5078,Furniture,Tables,Tables Model 996,932.12,2,0.0,199.47
ORD-10079,2021-05-25,2021-05-27,Same Day,CUST-1233,Chen Li,Home Office,United States,Rochester,New York,30631,East,PROD-5079,Furniture,Furnishings,Furnishings Model 379,505.44,2,0.13,22.35
ORD-10080,2021-03-30,2021-04-06,Standard Class,CUST-1081,Olivia Garcia,Home Office,United States,Cincinnati,Ohio,16522,Central,PROD-5080,Furniture,Chairs,Chairs Model 691,318.32,1,0.09,34.06
ORD-10081,2021-09-24,2021-09-27,Same Day,CUST-1213,Emily Davis,Home Office,United States,Virginia Beach,Virginia,38255,East,PROD-5081,Office Supplies,Appliances,Appliances Model 774,193.92,3,0.06,59.19
ORD-10082,2021-04-06,2021-04-07,First Class,CUST-1024,Rahul Verma,Consumer,United States,Virginia Beach,Virginia,61807,East,PROD-5082,Office Supplies,Appliances,Appliances Model 614,89.42,4,0.16,22.43
ORD-10083,2021-05-01,2021-05-08,First Class,CUST-1149,Chen Li,Corporate,United States,New York,New York,25726,East,PROD-5083,Furniture,Tables,Tables Model 8,1004.42,5,0.17,32.92
ORD-10084,2021-07-19,2021-07-21,First Class,CUST-1037,Aarav Singh,Consumer,United States,Charlotte,North Carolina,15544,South,PROD-5084,Office Supplies,Binders,Binders Model 447,95.93,3,0.28,-2.9
ORD-10085,2021-03-16,2021-03-23,Same Day,CUST-1364,Aarav Singh,Corporate,United States,Philadelphia,Pennsylvania,47947,East,PROD-5085,Technology,Machines,Machines Model 118,930.24,2,0.09,188.38
ORD-10086,2021-03-01,2021-03-02,First Class,CUST-1046,Aarav Singh,Consumer,United States,Orlando,Florida,23875,South,PROD-5086,Technology,Machines,Machines Model 250,876.24,1,0.01,275.74
ORD-10087,2021-06-02,2021-06-06,First Class,CUST-1114,Chen Li,Consumer,United States,Greensboro,North Carolina,32037,South,PROD-5087,Office Supplies,Storage,Storage Model 79,168.16,6,0.17,1.58
ORD-10088,2021-06-07,2021-06-10,Standard Class,CUST-1053,Priya Kumar,Corporate,United States,Cambridge,Massachusetts,43550,East,PROD-5088,Technology,Accessories,Accessories Model 203,753.0,3,0.22,9.15
ORD-10089,2021-07-17,2021-07-21,Same Day,CUST-1387,Olivia Garcia,Consumer,United States,Tacoma,Washington,85952,West,PROD-5089,Furniture,Furnishings,Furnishings Model 460,1034.32,3,0.13,268.7
ORD-10090,2021-06-26,2021-07-02,Same Day,CUST-1324,Emily Davis,Corporate,United States,Columbus,Ohio,46002,Central,PROD-5090,Furniture,Furnishings,Furnishings Model 606,12.0,3,0.2,1.02
ORD-10091,2021-06-10,2021-06-17,Same Day,CUST-1020,Alex Smith,Consumer,United States,Arlington,Virginia,58331,East,PROD-5091,Office Supplies,Appliances,Appliances Model 852,123.6,4,0.25,19.23
ORD-10092,2021-04-11,2021-04-14,Same Day,CUST-1298,Noah Brown,Consumer,United States,Austin,Texas,15376,Central,PROD-5092,Technology,Machines,Machines Model 461,1733.89,2,0.2,290.44
ORD-10093,2021-06-05,2021-06-07,Second Class,CUST-1231,Jordan Lee,Corporate,United States,Eugene,Oregon,55015,West,PROD-5093,Technology,Accessories,Accessories Model 732,4174.31,5,0.0,850.35
ORD-10094,2021-06-09,2021-06-12,Same Day,CUST-1269,Noah Brown,Consumer,United States,Boston,Massachusetts,89928,East,PROD-5094,Technology,Machines,Machines Model 163,2452.51,2,0.02,807.27
ORD-10095,2021-04-09,2021-04-12,Second Class,CUST-1324,Chen Li,Corporate,United States,Cleveland,Ohio,18639,Central,PROD-5095,Office Supplies,Storage,Storage Model 338,97.92,2,0.25,12.42
ORD-10096,2021-10-27,2021-10-29,First Class,CUST-1042,Olivia Garcia,Corporate,United States,Pittsburgh,Pennsylvania,96980,East,PROD-5096,Technology,Accessories,Accessories Model 145,331.99,1,0.12,51.71
ORD-10097,2021-06-23,2021-06-29,Standard Class,CUST-1305,Jordan Lee,Home Office,United States,Cincinnati,Ohio,50577,Central,PROD-5097,Technology,Machines,Machines Model 573,4.6,1,0.08,0.39
ORD-10098,2021-03-27,2021-03-30,Same Day,CUST-1261,Chen Li,Home Office,United States,Birmingham,Alabama,12389,South,PROD-5098,Technology,Phones,Phones Model 372,512.28,1,0.18,-1.2
ORD-10099,2021-07-17,2021-07-23,Standard Class,CUST-1071,Priya Kumar,Corporate,United States,Chicago,Illinois,20114,Central,PROD-5099,Office Supplies,Binders,Binders Model 303,28.09,1,0.21,4.46
ORD-10100,2021-08-01,2021-08-07,Same Day,CUST-1079,Priya Kumar,Corporate,United States,Rochester,New York,33703,East,PROD-5100,Technology,Accessories,Accessories Model 852,491.24,1,0.11,21.19
ORD-10101,2021-06-18,2021-06-24,Same Day,CUST-1313,Emily Davis,Corporate,United States,Las Vegas,Nevada,68841,West,PROD-5101,Office Supplies,Binders,Binders Model 240,224.6,4,0.01,33.82
ORD-10102,2021-05-05,2021-05-06,Same Day,CUST-1394,Emily Davis,Consumer,United States,Salem,Oregon,60052,West,PROD-5102,Office Supplies,Appliances,Appliances Model 515,438.88,5,0.1,139.5
ORD-10103,2021-04-07,2021-04-12,Second Class,CUST-1329,Sophia Patel,Home Office,United States,Atlanta,Georgia,58655,South,PROD-5103,Furniture,Bookcases,Bookcases Model 568,379.88,2,0.06,57.12
ORD-10104,2021-05-16,2021-05-22,Same Day,CUST-1263,Priya Kumar,Consumer,United States,Buffalo,New York,67340,East,PROD-5104,Furniture,Bookcases,Bookcases Model 94,319.66,1,0.06,68.53
ORD-10105,2021-06-13,2021-06-15,Same Day,CUST-1258,Chen Li,Consumer,United States,Reno,Nevada,40903,West,PROD-5105,Office Supplies,Paper,Paper Model 396,118.07,4,0.19,33.0
ORD-10106,2021-05-21,2021-05-26,First Class,CUST-1075,Priya Kumar,Consumer,United States,Richmond,Virginia,15020,East,PROD-5106,Office Supplies,Paper,Paper Model 294,160.74,2,0.11,8.25
ORD-10107,2021-09-14,2021-09-20,Second Class,CUST-1010,Emily Davis,Corporate,United States,Augusta,Georgia,38266,South,PROD-5107,Office Supplies,Paper,Paper Model 856,19.6,4,0.02,3.03
ORD-10108,2021-07-04,2021-07-06,Second Class,CUST-1025,Rahul Verma,Corporate,United States,Las Vegas,Nevada,65027,West,PROD-5108,Furniture,Bookcases,Bookcases Model 655,560.62,2,0.0,41.52
ORD-10109,2021-04-02,2021-04-04,Standard Class,CUST-1368,Priya Kumar,Corporate,United States,Miami,Florida,48177,South,PROD-5109,Technology,Phones,Phones Model 440,1401.24,3,0.15,288.06
ORD-10110,2021-03-23,2021-03-27,Second Class,CUST-1269,Chen Li,Home Office,United States,Richmond,Virginia,18870,East,PROD-5110,Office Supplies,Binders,Binders Model 977,36.13,1,0.24,6.1
ORD-10111,2021-06-23,2021-06-27,First Class,CUST-1130,Alex Smith,Consumer,United States,Pittsburgh,Pennsylvania,56805,East,PROD-5111,Technology,Machines,Machines Model 808,2185.08,3,0.12,603.32
ORD-10112,2021-05-07,2021-05-10,First Class,CUST-1069,Alex Smith,Home Office,United States,Richmond,Virginia,56176,East,PROD-5112,Technology,Phones,Phones Model 560,220.92,1,0.14,2.54
ORD-10113,2021-07-11,2021-07-17,Standard Class,CUST-1070,Jordan Lee,Corporate,United States,Naperville,Illinois,69988,Central,PROD-5113,Technology,Machines,Machines Model 38,1133.66,3,0.07,198.16
ORD-10114,2021-06-22,2021-06-28,First Class,CUST-1264,Aarav Singh,Consumer,United States,Chicago,Illinois,81176,Central,PROD-5114,Furniture,Bookcases,Bookcases Model 485,288.34,1,0.11,34.59
ORD-10115,2021-05-16,2021-05-21,Second Class,CUST-1336,Chen Li,Consumer,United States,Austin,Texas,45811,Central,PROD-5115,Office Supplies,Storage,Storage Model 128,66.57,1,0.19,16.42
ORD-10116,2021-04-02,2021-04-04,First Class,CUST-1096,Sophia Patel,Home Office,United States,Saint Paul,Minnesota,75211,Central,PROD-5116,Office Supplies,Appliances,Appliances Model 377,14.51,1,0.28,0.84
ORD-10117,2021-03-04,2021-03-10,Standard Class,CUST-1280,Emily Davis,Corporate,United States,Austin,Texas,52101,Central,PROD-5117,Furniture,Furnishings,Furnishings Model 106,1915.85,4,0.07,514.43
ORD-10118,2021-06-04,2021-06-07,Same Day,CUST-1086,Sophia Patel,Corporate,United States,Arlington,Virginia,56077,East,PROD-5118,Office Supplies,Appliances,Appliances Model 458,121.74,3,0.13,12.98
ORD-10119,2021-03-15,2021-03-22,Second Class,CUST-1344,Aarav Singh,Corporate,United States,Arlington,Virginia,57619,East,PROD-5119,Office Supplies,Paper,Paper Model 526,291.75,4,0.08,60.19
ORD-10120,2021-04-01,2021-04-08,Second Class,CUST-1065,Jordan Lee,Home Office,United States,Los Angeles,California,40932,West,PROD-5120,Technology,Machines,Machines Model 798,1077.2,5,0.21,125.13
ORD-10121,2021-05-31,2021-06-07,Same Day,CUST-1190,Chen Li,Home Office,United States,Cleveland,Ohio,68188,Central,PROD-5121,Furniture,Tables,Tables Model 782,470.95,2,0.0,27.14
ORD-10122,2021-05-24,2021-05-25,First Class,CUST-1128,Jordan Lee,Corporate,United States,Springfield,Massachusetts,13396,East,PROD-5122,Office Supplies,Storage,Storage Model 754,136.59,5,0.24,13.78
ORD-10123,2021-03-20,2021-03-22,First Class,CUST-1397,Emily Davis,Corporate,United States,Henderson,Nevada,68493,West,PROD-5123,Technology,Phones,Phones Model 220,387.07,2,0.21,65.31
ORD-10124,2021-08-11,2021-08-18,Same Day,CUST-1089,Sophia Patel,Consumer,United States,Minneapolis,Minnesota,21506,Central,PROD-5124,Furniture,Chairs,Chairs Model 830,284.2,1,0.04,69.48
ORD-10125,2021-08-09,2021-08-10,First Class,CUST-1081,Priya Kumar,Consumer,United States,Cincinnati,Ohio,57381,Central,PROD-5125,Technology,Copiers,Copiers Model 521,691.2,3,0.1,19.53
ORD-10126,2021-06-26,2021-07-03,Second Class,CUST-1185,Noah Brown,Consumer,United States,Los Angeles,California,85009,West,PROD-5126,Furniture,Furnishings,Furnishings Model 378,844.35,4,0.1,24.73
ORD-10127,2021-06-26,2021-06-29,Same Day,CUST-1368,Sophia Patel,Consumer,United States,Augusta,Georgia,78903,South,PROD-5127,Furniture,Bookcases,Bookcases Model 421,486.54,2,0.01,26.28
ORD-10128,2021-06-26,2021-06-30,Same Day,CUST-1239,Noah Brown,Corporate,United States,Miami,Florida,55156,South,PROD-5128,Technology,Phones,Phones Model 132,1137.05,2,0.26,7.78
ORD-10129,2022-07-22,2022-07-25,Standard Class,CUST-1156,Priya Kumar,Home Office,United States,Spokane,Washington,31229,West,PROD-5129,Furniture,Chairs,Chairs Model 331,608.51,2,0.09,176.18
ORD-10130,2021-07-31,2021-08-01,Standard Class,CUST-1326,Noah Brown,Corporate,United States,Eugene,Oregon,45972,West,PROD-5130,Furniture,Bookcases,Bookcases Model 129,1220.79,5,0.14,150.96
ORD-10131,2021-07-06,2021-07-08,Standard Class,CUST-1338,Olivia Garcia,Home Office,United States,Austin,Texas,89316,Central,PROD-5131,Furniture,Tables,Tables Model 346,12.75,3,0.15,0.65
